value,filename
MURDERER WAS LYNCHED,91513_0.txt
Young Farmer Taken From,91513_0.txt
"in Asotin, Washington Jail",91513_0.txt
He Had Confessed to the Murder of,91513_0.txt
the Girl Mabel Richards- A Black,91513_0.txt
Cap Was Placed Over His Head By,91513_0.txt
the Mob and He Was Left Hanging,91513_0.txt
to a Telegraph Poe.,91513_0.txt
"Asotin, Wash, Aug 5.- Despite the",91513_0.txt
efforts of Sheriff Richards of Asotin,91513_0.txt
"county, father of the victim, who had",91513_0.txt
"sworn in 25 deputies to guard him,",91513_0.txt
"William Hamilton, a well- to- do farmer,",91513_0.txt
the self- confessed murderer of little,91513_0.txt
"Mabel Richards, was forcibly taken",91513_0.txt
from the Asotin county jail early today,91513_0.txt
and lynched by a mob of over,91513_0.txt
"1,000 men from all parts of Asotin",91513_0.txt
county.,91513_0.txt
About 12:15 o'clock this morning a,91513_0.txt
"band of masked men, their faces concealed",91513_0.txt
with handkerciefs marched up,91513_0.txt
",",91513_0.txt
the street to the county jail.,91513_0.txt
The officers and guards were swept,91513_0.txt
aside by the mob. When the cell containing,91513_0.txt
the guilty man was reached no,91513_0.txt
key could be found to fit. It was ne,91513_0.txt
the bars.,91513_0.txt
cessary to saw What Ham,91513_0.txt
ilton said probably will not be learned.,91513_0.txt
After 15 minutes' delay he was dragged,91513_0.txt
out of the cell and down into the,91513_0.txt
yard.,91513_0.txt
"Meanwhile, another company of",91513_0.txt
masked men had marched up the,91513_0.txt
street and taken position opposite the,91513_0.txt
jail. They kept back the crowd which,91513_0.txt
had filled the all night. Soon,91513_0.txt
there came a procession streets from the jail,91513_0.txt
yard. On each side of the prisoner,91513_0.txt
was a masked man clutching the murderer's,91513_0.txt
arm. Beside him another masked,91513_0.txt
"man pressed closely, with his hand",91513_0.txt
over the murderer's mouth to prevent,91513_0.txt
a possible outcry. Other members of,91513_0.txt
the jail storming mob came behind. As,91513_0.txt
the group came forward those who had,91513_0.txt
been guarding the entrance formed a,91513_0.txt
"chain about captive and captors, and in",91513_0.txt
"this manner they proceeded, keeping",91513_0.txt
the crowd at a distance. At First and,91513_0.txt
Fillmore streets they halted under a,91513_0.txt
guy wire which crosses the street and,91513_0.txt
connects electric light poles. Here,91513_0.txt
one of the leaders asked Hamilton if,91513_0.txt
"he wanted to confess. He did so, admitting",91513_0.txt
that he outraged the sheriff's,91513_0.txt
"child, 11 years old, and then killed her.",91513_0.txt
His words were not heard more than,91513_0.txt
ten feet away. Finally he asked that,91513_0.txt
his jewelry and some trifling trinkets,91513_0.txt
